kanji,jlpt,onyomi,kunyomi,meanings
剤,N1,"zai
sui
sei ザイ
スイ
セイ","karu
kezu(ru) かる
けず(る)","dose, medicine, drug"
瀬,N1,rai ライ,se せ,"rapids, current, torrent, shallows, shoal"
趣,N1,shu シュ,"omomuki
omomu(ku) おもむき
おもむ(く)","purport, gist, elegance, interest, proceed to, tend, become"
陥,N1,kan カン,"ochii(ru)
otoshii(reru) おちい(る)
おとしい(れる)","collapse, fall into, cave in, fall (castle), slide into"
斎,N1,sai サイ,"toki
tsutsushi(mu)
monoimi
i(mu)
iwa(u)
itsu(ku) とき
つつし(む)
ものいみ
い(む)
いわ(う)
いつ(く)","purification, Buddhist food, room, worship, avoid, alike"
貫,N1,kan カン,"tsuranu(ku)
nu(ku)
nuki つらぬ(く)
ぬ(く)
ぬき","pierce, 8 1/3lbs, penetrate, brace"
仙,N1,"sen
sento セン
セント",,"hermit, wizard, cent"
慰,N1,i イ,nagusa(meru) なぐさ(める),"consolation, amusement, seduce, cheer, make sport of, comfort, console"
序,N1,jo ジョ,"tsui(de)
tsuide つい(で)
ついで","preface, beginning, order, precedence, occasion, chance, incidentally"
旬,N1,"jun
shun ジュン
シュン",,"decameron, ten-day period, season (for specific products)"
兼,N1,ken ケン,"ka(neru)
-ka(neru) か(ねる)
-か(ねる)","concurrently, and, beforehand, in advance"
聖,N1,"sei
shou セイ
ショウ",hijiri ひじり,"holy, saint, sage, master, priest"
旨,N1,shi シ,"mune
uma(i) むね
うま(い)","delicious, relish, show a liking for, purport, will, clever, expert"
即,N1,soku ソク,"tsu(ku)
sunawa(chi) つ(く)
すなわ(ち)","instant, namely, as is, conform, agree, adapt"
柳,N1,ryuu リュウ,yanagi やなぎ,willow
舎,N1,"sha
seki シャ
セキ",yado(ru) やど(る),"cottage, inn, hut, house, mansion"
偽,N1,"gi
ka ギ
カ","itsuwa(ru)
nise いつわ(る)
にせ","falsehood, lie, deceive, pretend, counterfeit, forgery"
較,N1,"kaku
kou カク
コウ",kura(beru) くら(べる),"contrast, compare"
覇,N1,"ha
haku ハ
ハク",hatagashira はたがしら,"hegemony, supremacy, leadership, champion"
畑,N1,,"hata
hatake
-batake はた
はたけ
-ばたけ","farm, field, garden, one's specialty, (kokuji)"
詳,N1,shou ショウ,"kuwa(shii)
tsumabi(raka) くわ(しい)
つまび(らか)","detailed, full, minute, accurate, well-informed"
抵,N1,tei テイ,,"resist, reach, touch"
脅,N1,kyou キョウ,"obiya(kasu)
odo(su) おびや(かす)
おど(す)","threaten, coerce"
茂,N1,mo モ,shige(ru) しげ(る),"overgrown, grow thick, be luxuriant"
犠,N1,"gi
ki ギ
キ",ikenie いけにえ,sacrifice
旗,N1,ki キ,hata はた,"national flag, banner, standard"
距,N1,kyo キョ,"heda(taru)
kedzume へだ(たる)
けづめ","long-distance, spur, fetlock"
雅,N1,ga ガ,miya(bi) みや(び),"gracious, elegant, graceful, refined"
飾,N1,shoku ショク,kaza(ru) かざ(る),"decorate, ornament, adorn, embellish"
網,N1,mou モウ,ami あみ,"netting, network"
竜,N1,"ryuu
ryou
rou リュウ
リョウ
ロウ","tatsu
ise たつ
いせ","dragon, imperial"
詩,N1,shi シ,uta うた,"poem, poetry"
繁,N1,han ハン,shige(ku) しげ(く),"luxuriant, thick, overgrown, frequency, complexity, trouble"
翼,N1,yoku ヨク,tsubasa つばさ,"wing, plane, flank"
茨,N1,"shi
ji シ
ジ","ibara
kaya
kusabuki いばら
かや
くさぶき","briar, thorn"
潟,N1,seki セキ,"kata
-gata かた
-がた",lagoon
敵,N1,teki テキ,"kataki
ada
kana(u) かたき
あだ
かな(う)","enemy, foe, opponent"
魅,N1,mi ミ,,"fascination, charm, bewitch"
嫌,N1,"ken
gen ケン
ゲン","kira(i)
iya きら(い)
いや","dislike, detest, hate"
斉,N1,"sei
sai セイ
サイ","soro(u)
hito(shii)
ataru
hayai そろ(う)
ひと(しい)
あたる
はやい","adjusted, alike, equal, similar variety of"
敷,N1,fu フ,"shi(ku)
-shi(ki) し(く)
-し(き)","spread, pave, sit, promulgate"
擁,N1,yoku ヨウ,,"hug, embrace, possess, protect, lead"
圏,N1,ken ケン,kako(i) かこ(い),"sphere, circle, radius, range"
酸,N1,san サン,su(i) す(い),"acid, bitterness, sour, tart"
罰,N1,"batsu
bachi
hatsu バツ
バチ
ハツ",bas(suru) ばっ(する),"penalty, punishment"
滅,N1,metsu メツ,"horo(biru)
horo(bu)
horo(basu) ほろ(びる)
ほろ(ぶ)
ほろ(ぼす)","destroy, ruin, overthrow, perish"
礎,N1,so ソ,ishizue いしずえ,"cornerstone, foundation stone"
腐,N1,fu フ,"kusa(ru)
-kusa(ru) くさ(る)
-くさ(る)","rot, decay, sour"
脚,N1,"kyaku
kya
kaku キャク
キャ
カク",ashi あし,"skids, leg, undercarriage, lower part, base"
菱,N1,ryou リョウ,hishi ひし,"diamond (shape), water chestnut, rhombus"
潮,N1,chou チョウ,"shio
ushio しお
うしお","tide, salt water, opportunity"
梅,N1,bai バイ,ume うめ,plum
尽,N1,"jin
san ジン
サン","tsu(kiru)
tsu(kusu)
-dzu(ku)
zu(ku) つ(きる)
つ(くす)
-づ(く)
-ず(く)","exhaust, use up, run out of, deplete, befriend, serve"
僕,N1,boku ボク,shimobe しもべ,"me, I (male), servant, manservant"
桜,N1,"ou
you オウ
ヨウ",sakura さくら,cherry
滑,N1,"katsu
kotsu カツ
コツ","sube(ru)
name(raka) すべ.る
なめ.らか","slippery, slide, slip, fail exam"
孤,N1,ko コ,,"orphan, alone"
煕,N1,ki キ,"tanoshi(mu)
hika(ru)
hiro(i)
yoroko(bu)
kawa(ku)
akiraka たのし(む)
ひか(る)
ひろ(い)
よろこ(ぶ)
かわ(く)
あきらか",shine
炎,N1,en エン,honoo ほのお,"inflammation, flame, blaze"
賠,N1,bai バイ,,"compensation, indemnify"
句,N1,ku ク,,"phrase, clause, sentence, passage, paragraph, counter for haiku"
寿,N1,"ju
su
shuu ジュ
ス
シュウ","kotobuki
kotobu(ku)
kotoho(gu) ことぶき
ことぶ(く)
ことほ(ぐ)","longevity, congratulations, one's natural life"
鋼,N1,kou コウ,hagane はがね,steel
頑,N1,gan ガン,kataku(na) かたく(な),"stubborn, foolish, firmly"
鎖,N1,sa サ,"kusari
toza(su) くさり
とざ.す","chain, irons, connection"
彩,N1,sai サイ,irodo(ru) いろど.る,"coloring, paint, makeup"
摩,N1,ma マ,"ma(suru)
sasu(ru)
su(ru) ま(する)
さす(る)
す(る)","chafe, rub, polish, grind, scrape"
励,N1,rei レイ,"hage(mu)
hage(masu) はげ(む)
はげ(ます)","encourage, be diligent, inspire"
縦,N1,juu ジュウ,tate たて,"vertical, length, height, self-indulgent, wayward"
輝,N1,ki キ,kagaya(ku) かがや(く),"radiance, shine, sparkle, gleam, twinkle"
蓄,N1,chiku チク,takuwa(eru) たくわ(える),"amass, raise, hoard, store"
軸,N1,jiku ジク,,"axis, pivot, stem, stalk, counter for book scrolls"
巡,N1,jun ジュン,"megu(ru)
megu(ri) めぐ(る)
めぐ(り)","patrol, go around, circumference"
稼,N1,ka カ,kase(gu) かせ(ぐ),"earnings, work, earn money"
瞬,N1,shun シュン,"matata(ku)
majiro(gu) またた(く)
まじろ(ぐ)","wink, blink, twinkle"
砲,N1,hou ホウ,,"cannon, gun"
噴,N1,fun フン,fuku ふ(く),"erupt, spout, emit, flush out"
誇,N1,ko コ,hoko(ru) ほこ(る),"boast, be proud, pride, triumphantly"
祥,N1,shou ショウ,"saiwa(i)
kiza(shi)
yo(i)
tsumabi(raka) さいわ(い)
きざ(し)
よ(い)
つまび(らか)","auspicious, happiness, blessedness, good omen, good fortune"
牲,N1,sei セイ,,"animal sacrifice, offering"
秩,N1,chitsu チツ,,"regularity, salary, order"
帝,N1,tei テイ,mikado みかど,"sovereign, the emperor, god, creator"
宏,N1,kou コウ,hiro(i) ひろ(い),"wide, large"
唆,N1,sa サ,"soso(ru)
sosonoka(su) そそ(る)
そそのか(す)","tempt, seduce, instigate, promote"
阻,N1,so ソ,haba(mu) はば(む),"thwart, separate from, prevent, obstruct, deter, impede"
泰,N1,tai タイ,,"peaceful, calm, peace, easy, Thailand, extreme, excessive, great"
賄,N1,wai ワイ,makana(u) まかな(う),"bribe, board, supply, finance"
撲,N1,boku ボク,,"slap, strike, hit, beat, tell, speak"
堀,N1,kutsu クツ,hori ほり,"ditch, moat, canal"
菊,N1,kiku キク,,chrysanthemum
絞,N1,kou コウ,"shibo(ru)
shi(meru)
shi(maru) しぼ(る)
し(める)
し(まる)","strangle, constrict, wring"
縁,N1,"en
-nen エン
-ネン","fuchi
yukari
yosuga
heri
enishi ふち
ゆかり
よすが
へり
えにし","affinity, relation, connection, edge, border, verge, brink"
唯,N1,"yui
i ユイ
イ",tada ただ,"solely, only, merely, simply"
膨,N1,bou ボウ,"fuku(ramu)
fuku(reru) ふく(らむ)
ふく(れる)","swell, get fat, thick"
耐,N1,tai タイ,ta(eru) た(える),"-proof, enduring"
塾,N1,juku ジュク,,"cram school, private school"
漏,N1,rou ロウ,"mo(ru)
mo(reru)
mo(rasu) も(る)
も(れる)
も(らす)","leak, escape, time"
慶,N1,kei ケイ,yoroko(bi) よろこ(び),"jubilation, congratulate, rejoice, be happy"
猛,N1,mou モウ,,"fierce, rave, rush, become furious, wildness, strength"
芳,N1,hou ホウ,kanba(shii) かんば(しい),"perfume, balmy, favorable, fragrant"
懲,N1,chou チョウ,"ko(riru)
ko(rasu)
ko(rashimeru) こ(りる)
こ(らす)
こ(らしめる)","penal, chastise, punish, discipline"
剣,N1,ken ケン,tsurugi つるぎ,"sabre, sword, blade, clock hand"
幌,N1,kou コウ,"horo
tobari ほろ
とばり","canopy, awning, hood, curtain"
彰,N1,shou ショウ,,"patent, clear"
棋,N1,ko キ,go ご,"chess piece, Japanese chess, shogi"
丁,N1,"chou
tei
chin
tou
chi チョウ
テイ
チン
トウ
チ",hinoto ひのと,"street, ward, town, counter for guns, tools"
恒,N1,kou コウ,"tsune
tsuneni つね
つねに","constancy, always"
揚,N1,you ヨウ,"a(geru)
-a(ge) あ(げる)
-あ(げ)","raise, elevate, hoist, praise, extol, fry in deep fat"
冒,N1,bou ボウ,oka(su) おか(す),"risk, face, defy, dare, damage, assume (a name)"
之,N1,shi シ,"no
kore
yuku
kono の
これ
ゆく
この","of, this"
曽,N1,"sou
so ソウ
ソ","katsu
katsute
sunawachi かつ
かつて
すなわち","formerly, once, before, ever, never, ex-"
倫,N1,rin リン,,"ethics, companion"
陳,N1,chin チン,hi(neru) ひ(ねる),"exhibit, state, relate, explain"
憶,N1,oku オク,,"recollection, think, remember"
潜,N1,sen セン,"hiso(mu)
mogu(ru)
kaku(reru)
kugu(ru) ひそ(む)
もぐ(る)
かく(れる)
くぐ(る)","submerge, conceal, hide, lower (voice), hush"
梨,N1,ri リ,nashi なし,pear tree
仁,N1,"jin
ni
nin ジン
ニ
ニン",,"humanity, virtue, benevolence, charity, man, kernel"
克,N1,koku コク,ka(tsu) か(つ),"overcome, kindly, skillfully"
岳,N1,gaku ガク,dake たけ,"point, peak, mountain"
概,N1,gai ガイ,oomu(ne) おおむ(ね),"outline, condition, approximation, generally"
拘,N1,kou コウ,kaka(waru) かか(わる),"arrest, seize, concerned, adhere to, despite"
墓,N1,bo ボ,haka はか,"grave, tomb"
黙,N1,"moku
boku モク
ボク","dama(ru)
moda(su) だま(る)
もだ(す)","silence, become silent, stop speaking, leave as is"
須,N1,"su
shu ス
シュ","subekara(ku)
subeshi
hige
matsu
mochi(iru)
moto(meru) すべから(く)
すべし
ひげ
まつ
もち(いる)
もと(める)","ought, by all means, necessarily"
偏,N1,hen ヘン,katayo(ru) かたよ(る),"partial, side, left-side radical, inclining, biased"
雰,N1,fun フン,,"atmosphere, fog"
遇,N1,guu グウ,a(u) あ(う),"meet, encounter, interview, treat, entertain, receive, deal with"
諮,N1,shi シ,haka(ru) はか(る),consult with
狭,N1,"kyou
kou キョウ
コウ","sema(i)
seba(meru)
sa せま(い)
せば(める)
さ","cramped, narrow, contract, tight"
卓,N1,taku タク,,"eminent, table, desk, high"
亀,N1,"ki
kyuu
kin キ
キュウ
キン",kame かめ,"tortoise, turtle"
糧,N1,"ryou
rou リョウ
ロウ",kate かて,"provisions, food, bread"
梶,N1,bi ビ,"kaji
kozue かじ
こずえ",sculling oar
簿,N1,bo ボ,,"register, record book"
炉,N1,ro ロ,irori いろり,"hearth, furnace, kiln, reactor"
牧,N1,boku ボク,maki まき,"breed, care for, shepherd, feed, pasture"
殊,N1,shu シュ,koto こと,"particularly, especially, exceptionally"
殖,N1,shoku ショク,"fu(eru)
fu(yasu) ふ(える)
ふ(やす)","augment, increase, multiply, raise"
艦,N1,kan カン,,warship
輩,N1,hai ハイ,"-bara
yakara
yakai
tomogara -ばら
やから
やかい
ともがら","comrade, fellow, people, companions"
穴,N1,ketsu ケツ,ana あな,"hole, aperture, slit, cave, den"
奇,N1,ki キ,"ku(shiki)
aya(shii)
kushi
mezura(shii) く(しき)
あや(しい)
くし
めずら(しい)","strange, strangeness, curiosity"
慢,N1,man マン,,"ridicule, laziness"
鶴,N1,kaku カク,tsuru つる,"crane, stork"
謀,N1,"bou
mu ボウ
ム","haka(ru)
tabaka(ru)
hakarigoto はか(る)
たばか(る)
はかりごと","conspire, cheat, impose on, plan, devise, scheme, have in mind, deceive"
暖,N1,"dan
non ダン
ノン",atata(kai) あたた(かい),warmth
昌,N1,shou ショウ,sakan さかん,"prosperous, bright, clear"
拍,N1,"haku
hyou ハク
ヒョウ",,"clap, beat (music)"
朗,N1,rou ロウ,"hoga(raka)
aki(raka) ほが(らか)
あき(らか)","melodious, clear, bright, serene, cheerful"
丈,N1,jou ジョウ,"take
dake たけ
だけ","length, ten shaku, measure, Mr., Ms., height, stature, all (one has), only, that's all, merely"
寛,N1,kan カン,"kutsuro(gu)
hiro(i)
yuru(yaka) くつろ(ぐ)
ひろ(い)
ゆる(やか)","tolerant, leniency, generosity, relax, feel at home, be at ease, broadminded"
覆,N1,fuku フク,"oo(u)
kutsugae(su) おお(う)
くつがえ(す)","capsize, cover, shade, mantle, be ruined"
胞,N1,hou ホウ,,"placenta, sac, sheath"
泣,N1,kyuu キュウ,na(ku) な(く),"cry, weep, moan"
隔,N1,kaku カク,heda(teru) へだ(てる),"isolate, alternate, distance, separate, gulf"
浄,N1,"jou
sei ジョウ
セイ","kiyo(meru)
kiyo(i) きよ(める)
きよ(い)","clean, purify, cleanse, exorcise, Manchu Dynasty"
没,N1,"botsu
motsu ボツ
モツ","obo(reru)
shizu(mu)
nai おぼ(れる)
しず(む)
ない","drown, sink, hide, fall into, disappear, die"
暇,N1,ka カ,"itoma ひま
いとま","spare time, rest, leisure, time, leave of absence"
肺,N1,hai ハイ,,lungs
貞,N1,"tei
jou テイ
ジョウ","tadashi(i)
sada ただし(い)
さだ","upright, chastity, constancy, righteousness"
靖,N1,"sei
jou セイ
ジョウ",yasu(njiru) やす(んじる),peaceful
鑑,N1,kan カン,"kanga(miru)
kagami かんが(みる)
かがみ","specimen, take warning from, learn from"
飼,N1,shi シ,ka(u) か(う),"domesticate, raise, keep, feed"
陰,N1,in イン,"kage
kage(ru) かげ
かげ(る)","shade, yin, negative, sex organs, secret, shadow"
銘,N1,mei メイ,,"inscription, signature (of artisan)"
随,N1,zui ズイ,"manima(ni)
shitaga(u) まにま(に)
したが(う)","follow, though, notwithstanding, while, during, both, all, obey, submit to, comply"
烈,N1,retsu レツ,hage(shii) はげ(しい),"ardent, violent, vehement, furious, severe, extreme"
尋,N1,jin ジン,"tazu(neru)
hiro たず(ねる)
ひろ","inquire, fathom, look for"
渕,N1,"en
kaku
kou エン
カク
コウ","fuchi
kata(i)
hanawa ふち
かた(い)
はなわ",edge
稿,N1,kou コウ,"wara
shitagaki わら
したがき","draft, copy, manuscript, straw"
丹,N1,tan タン,ni に,"rust-colored, red, red lead, pills, sincerity"
啓,N1,kei ケイ,"hira(ku)
sato(su) ひら(く)
さと(す)","disclose, open, say"
也,N1,"ya
e ヤ
エ","nari
ka
mata なり
か
また",to be (classical)
丘,N1,kyuu キュウ,oka おか,"hill, knoll"
棟,N1,tou トウ,"mune
muna- むね
むな-","ridgepole, ridge"
壌,N1,jou ジョウ,tsuchi つち,"lot, earth, soil"
漫,N1,man マン,"midari(ni)
sozo(ro) みだり(に)
そぞ(ろ)","cartoon, involuntarily, unrestrained, in spite of oneself, corrupt"
玄,N1,gen ゲン,"kuro
kuro(i) くろ
くろ(い)","mysterious, occultness, black, deep, profound"
粘,N1,nen ネン,neba(ru) ねば(る),"sticky, glutinous, greasy, persevere"
悟,N1,go ゴ,sato(ru) さと(る),"enlightenment, perceive, discern, realize, understand"
舗,N1,ho ホ,,"shop, store, pave"
妊,N1,"nin
jin ニン
ジン","hara(mu)
migomo(ru) はら(む)
みごも(る)",pregnancy
熟,N1,juku ジュク,u(reru) う(れる),"mellow, ripen, mature, acquire skill"
旭,N1,kyoku キョク,asahi あさひ,"rising sun, morning sun"
恩,N1,on オン,,"grace, kindness, goodness, favor, mercy, blessing, benefit"
騰,N1,tou トウ,"aga(ru)
nobo(ru) あが(る)
のぼ(る)","leaping up, jumping up, rising, advancing, going"
往,N1,ou オウ,"i(ku)
inishie
saki(ni)
yu(ku) い(く)
いにしえ
さき(に)
ゆ(く)","journey, travel, chase away, let go, going, before, formerly"
豆,N1,"tou
zu トウ
ズ","mame
mame- まめ
まめ-","beans, pea, midget"
遂,N1,sui スイ,"to(geru)
tsui(ni) と(げる)
つい(に)","consummate, accomplish, attain, commit (suicide)"
狂,N1,kyou キョウ,kuru(u) くる(う),"lunatic, insane, crazy, confuse"
栃,N1,,tochi とち,"horse chestnut, (kokuji)"
岐,N1,"ki
gi キ
ギ",,"branch off, fork in road, scene, arena, theater"
陛,N1,hei ヘイ,,"highness, steps (of throne)"
緯,N1,i イ,"yokoito
nuki よこいと
ぬき","horizontal, woof, left & right, (parallels of) latitude, prediction"
培,N1,bai バイ,tsuchika(u) つちか(う),"cultivate, foster"
衰,N1,sui スイ,otoro(eru) おとろ(える),"decline, wane, weaken"
艇,N1,tei テイ,,"rowboat, small boat"
屈,N1,kutsu クツ,kaga(mu) かが(む),"yield, bend, flinch, submit"
径,N1,kei ケイ,"michi
komichi
sashiwatashi
tadachini みち
こみち
さしわたし
ただちに","diameter, path, method"
淡,N1,tan タン,awa(i) あわ(い),"thin, faint, pale, fleeting"
抽,N1,chuu チュウ,hiki- ひき-,"pluck, pull, extract, excel"
披,N1,hi ヒ,,"expose, open"
廷,N1,tei テイ,,"courts, imperial court, government office"
錦,N1,kin キン,nishiki にしき,"brocade, fine dress, honors"
