kanji,jlpt,onyomi,kunyomi,meanings
薦,N1,sen セン,susu(meru) すす(める),"recommend, mat, advise, encourage, offer"
隣,N1,rin リン,"tona(ru)
tonari とな(る)
となり",neighboring
華,N1,"ka
ke カ
ケ",hana はな,"splendor, flower, petal, shine, luster, ostentatious, showy, gay, gorgeous"
範,N1,han ハン,,"pattern, example, model"
隠,N1,"in
on イン
オン","kaku(su)
yo(ru) かく(す)
よ(る)","conceal, hide, cover"
徳,N1,toku トク,,"benevolence, virtue, goodness, commanding respect"
哲,N1,tetsu テツ,"satoi
akiraka さとい
あきらか","philosophy, clear"
杉,N1,san サン,sugi すぎ,"cedar, cryptomeria"
里,N1,ri リ,sato さと,"ri, village, parent's home, league"
釈,N1,"shaku
seki シャク
セキ","toku
su(teru)
yuru(su) とく
す(てる)
ゆる(す)",explanation
己,N1,"ko
ki コ
キ","onore
tsuchinoto
na おのれ
つちのと
な",self
妥,N1,da ダ,,"gentle, peace, satisfactory, appropriate"
威,N1,i イ,odo(su) おど(す),"intimidate, dignity, majesty, menace, threaten"
豪,N1,gou ゴウ,era(i) えら(い),"overpowering, great, powerful, excelling, Australia"
熊,N1,yuu ユウ,kuma くま,bear
滞,N1,"tai
tei タイ
テイ",todokoo(ru) とどこお(る),"stagnate, be delayed, overdue, arrears"
微,N1,bi ビ,kasu(ka) かす(か),"delicate, minuteness, insignificance"
隆,N1,ryuu リュウ,,"hump, high, noble, prosperity"
症,N1,shou ショウ,,"symptoms, illness"
暫,N1,zan ザン,shibara(ku) しばら(く),"temporarily, a while, moment, long time"
忠,N1,chuu チュウ,,"loyalty, fidelity, faithfulness"
倉,N1,sou ソウ,kura くら,"godown, warehouse, storehouse, cellar, treasury"
彦,N1,gen ゲン,hiko ひこ,"lad, boy (ancient)"
肝,N1,kan カン,kimo きも,"liver, pluck, nerve, chutzpah"
喚,N1,kan カン,wame(ku) わめ(く),"yell, cry, call, scream, summon"
沿,N1,en エン,"so(u)
-zo(i) そ(う)
-ぞ(い)","run alongside, follow along, run along, lie along"
妙,N1,"myou
byou ミョウ
ビョウ",tae たえ,"exquisite, strange, queer, mystery, miracle, excellent, delicate, charming"
唱,N1,shou ショウ,tona(eru) とな(える),"chant, recite, call upon, yell"
阿,N1,"a
o ア
オ","omone(ru)
kuma おもね(る)
くま","Africa, flatter, fawn upon, corner, nook, recess"
索,N1,saku サク,,"cord, rope, searching, inquiring"
誠,N1,sei セイ,makoto まこと,"sincerity, admonish, warn, prohibit, truth, fidelity"
襲,N1,shuu シュウ,"oso(u)
kasa(ne) おそ(う)
かさ(ね)","attack, advance on, succeed to, pile, heap"
懇,N1,kon コン,nengo(ro) ねんご(ろ),"sociable, kind, courteous, hospitable, cordial"
俳,N1,hai ハイ,,"haiku, actor"
柄,N1,hei ヘイ,"gara
e
tsuka がら
え
つか","design, pattern, build, nature, character, handle, crank, grip, knob, shaft"
驚,N1,kyou キョウ,odoro(ku) おどろ(く),"wonder, be surprised, frightened, amazed"
麻,N1,"ma
maa マ
マア",asa あさ,"hemp, flax, numb"
李,N1,ri リ,sumomo すもも,plum
浩,N1,kou コウ,"ooki(i)
hiro(i) おおき(い)
ひろ(い)","wide expanse, abundance, vigorous"
